Loading VAE at epoch 1 with test loss 38.95674472473144
Loading MDRNN at epoch 28 with test loss 0.9927084982887773
Loading Controller with reward 674.865860291822
Track generation: 1058..1332 -> 274-tiles track
Track generation: 1127..1414 -> 287-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1236..1549 -> 313-tiles track
Track generation: 1263..1582 -> 319-tiles track
Track generation: 1205..1510 -> 305-tiles track
Track generation: 1143..1433 -> 290-tiles track
Track generation: 1129..1415 -> 286-tiles track
Track generation: 1216..1524 -> 308-tiles track
Track generation: 1215..1523 -> 308-tiles track
Track generation: 1320..1654 -> 334-tiles track
Track generation: 1157..1458 -> 301-tiles track
Track generation: 1063..1338 -> 275-tiles track
Track generation: 1156..1449 -> 293-tiles track
Track generation: 1275..1598 -> 323-tiles track
Track generation: 1119..1403 -> 284-tiles track
Track generation: 1380..1727 -> 347-tiles track
Track generation: 1002..1261 -> 259-tiles track
Track generation: 1148..1439 -> 291-tiles track
Track generation: 1061..1330 -> 269-tiles track
Track generation: 1288..1614 -> 326-tiles track
Track generation: 1243..1558 -> 315-tiles track
Track generation: 1195..1498 -> 303-tiles track
Track generation: 1069..1347 -> 278-tiles track
Track generation: 1065..1335 -> 270-tiles track
Track generation: 1115..1397 -> 282-tiles track
Track generation: 1079..1353 -> 274-tiles track
Track generation: 1339..1684 -> 345-tiles track
Track generation: 1088..1364 -> 276-tiles track
Track generation: 1087..1363 -> 276-tiles track
Track generation: 1077..1358 -> 281-tiles track
Track generation: 1286..1611 -> 325-tiles track
Track generation: 1137..1431 -> 294-tiles track
Track generation: 1172..1475 -> 303-tiles track
Track generation: 1192..1494 -> 302-tiles track
Track generation: 1019..1278 -> 259-tiles track
Track generation: 1359..1703 -> 344-tiles track
Track generation: 1096..1374 -> 278-tiles track
Track generation: 995..1248 -> 253-tiles track
Track generation: 1112..1394 -> 282-tiles track
Track generation: 1188..1489 -> 301-tiles track
Track generation: 1011..1268 -> 257-tiles track
Track generation: 1091..1368 -> 277-tiles track
Track generation: 1168..1464 -> 296-tiles track
Track generation: 1136..1424 -> 288-tiles track
Track generation: 997..1256 -> 259-tiles track
Track generation: 1134..1431 -> 297-tiles track
Track generation: 1152..1449 -> 297-tiles track
Track generation: 1024..1284 -> 260-tiles track
Track generation: 1210..1517 -> 307-tiles track
Track generation: 1144..1434 -> 290-tiles track
Track generation: 1224..1534 -> 310-tiles track
Track generation: 1195..1504 -> 309-tiles track
Track generation: 1251..1568 -> 317-tiles track
Track generation: 1084..1359 -> 275-tiles track
Track generation: 1066..1337 -> 271-tiles track
Track generation: 1215..1523 -> 308-tiles track
Track generation: 1014..1277 -> 263-tiles track
Track generation: 1206..1512 -> 306-tiles track
Track generation: 1253..1569 -> 316-tiles track
Track generation: 1059..1335 -> 276-tiles track
Track generation: 1027..1297 -> 270-tiles track
Track generation: 1056..1324 -> 268-tiles track
Track generation: 1108..1389 -> 281-tiles track
Track generation: 1251..1568 -> 317-tiles track
Track generation: 1167..1463 -> 296-tiles track
Track generation: 1129..1424 -> 295-tiles track
Track generation: 1094..1373 -> 279-tiles track
retry to generate track (normal if there are not many of this messages)
Track generation: 1065..1335 -> 270-tiles track
Track generation: 1235..1548 -> 313-tiles track
Track generation: 1242..1564 -> 322-tiles track
Track generation: 1154..1447 -> 293-tiles track
Track generation: 966..1218 -> 252-tiles track
Track generation: 971..1218 -> 247-tiles track
Track generation: 966..1213 -> 247-tiles track
Track generation: 1272..1594 -> 322-tiles track
Track generation: 1348..1689 -> 341-tiles track
Track generation: 1215..1530 -> 315-tiles track
Track generation: 1378..1726 -> 348-tiles track
Track generation: 961..1207 -> 246-tiles track
Track generation: 1042..1315 -> 273-tiles track
Track generation: 1316..1649 -> 333-tiles track
Track generation: 1069..1345 -> 276-tiles track
Track generation: 1007..1263 -> 256-tiles track
Track generation: 1201..1505 -> 304-tiles track
